trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-60.04687734522671,"{0: 10, 1: 5, 2: 5, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-133.54242406577765,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-172.66833631360043,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-182.42209685118743,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-68.92718855736702,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-107.58430419268613,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-63.14894272221059,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-140.49042471373087,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-106.74571189144905,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,7,-80.3192270203565,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 2}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-90.78143619187942,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",35,0,-48.710855489801034,"{0: 30, 1: 0, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,15.895174791311607,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,14.295005561899695,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-94.925712513858,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-68.1908490946414,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,3,-54.67785436194413,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,17,-19.234120664804326,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-45.577339863322656,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,-60.521710074709915,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 2}",0
21,False,"{'a': 0.5, 'e': -0.05000000000000032}",30,0,-36.131587304393044,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': -0.10000000000000032}",20,0,-22.863194782253373,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': -0.15000000000000033}",30,20,-5.09900114686729,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': -0.20000000000000034}",25,18,-0.09822417928112914,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': -0.25000000000000033}",20,2,27.737068491801626,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': -0.3000000000000003}",20,0,-56.96555001744763,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
27,False,"{'a': 0.5, 'e': -0.3500000000000003}",25,9,-17.918566013889368,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
28,False,"{'a': 0.5, 'e': -0.4000000000000003}",20,1,-48.58752277165943,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 2}",1
29,False,"{'a': 0.5, 'e': -0.4500000000000003}",20,0,-8.095192760349327,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': -0.5000000000000003}",30,12,17.454108092397597,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': -0.5500000000000004}",25,13,21.724135092991098,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': -0.6000000000000004}",20,12,-26.100671537371433,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
33,False,"{'a': 0.5, 'e': -0.6500000000000005}",30,0,31.918828809974272,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': -0.7000000000000005}",35,2,-52.13213836402733,"{0: 30, 1: 0, 2: 1, 3: 0, 4: 2}",1
35,False,"{'a': 0.5, 'e': -0.7500000000000006}",20,14,-42.57987391578039,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 1}",1
36,False,"{'a': 0.5, 'e': -0.8000000000000006}",30,13,-66.02398117746498,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 2}",1
37,False,"{'a': 0.5, 'e': -0.8500000000000006}",25,0,31.73767535713376,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': -0.9000000000000007}",20,9,21.153080061380074,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': -0.9500000000000007}",25,11,-27.56444474241577,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
40,False,"{'a': 0.5, 'e': -1.0000000000000007}",20,14,-31.353077022328605,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
41,False,"{'a': 0.5, 'e': -1.0500000000000007}",20,0,28.042323544099585,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
42,False,"{'a': 0.5, 'e': -1.1000000000000008}",30,13,28.33480169790792,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': -1.1500000000000008}",20,0,16.379626468942316,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
