trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 1.0}",20,0,-106.80134477654214,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
2,False,"{'a': 0.6, 'e': 0.9851119396030626}",20,0,-145.56731954157013,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
3,False,"{'a': 0.6, 'e': 0.9704455335485082}",25,0,-146.89276688688415,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
4,False,"{'a': 0.6, 'e': 0.9559974818331}",30,0,-125.1742150868213,"{0: 19, 1: 1, 2: 8, 3: 1, 4: 1}",0
5,False,"{'a': 0.6, 'e': 0.9417645335842487}",25,0,-146.48136006297688,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 1}",0
6,False,"{'a': 0.6, 'e': 0.9277434863285529}",25,0,-149.06488102920602,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
7,False,"{'a': 0.6, 'e': 0.9139311852712282}",25,0,-132.0110877340856,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
8,False,"{'a': 0.6, 'e': 0.9003245225862656}",25,12,-20.04462361829017,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
9,False,"{'a': 0.6, 'e': 0.8869204367171575}",30,1,-83.7064519118788,"{0: 18, 1: 5, 2: 4, 3: 2, 4: 0}",1
10,False,"{'a': 0.6, 'e': 0.8737159116880344}",30,0,-148.81371010792165,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
11,False,"{'a': 0.6, 'e': 0.8607079764250578}",30,0,-282.893899021069,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 6}",0
12,False,"{'a': 0.6, 'e': 0.8478937040879159}",20,0,-7.892320689604194,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
13,False,"{'a': 0.6, 'e': 0.835270211411272}",30,0,-93.8349975302799,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.6, 'e': 0.8228346580560184}",20,0,-61.496073583220635,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.6, 'e': 0.8105842459701871}",20,0,-45.099181362355,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
16,False,"{'a': 0.6, 'e': 0.7985162187593771}",25,0,-177.82205013882106,"{0: 11, 1: 2, 2: 10, 3: 0, 4: 2}",0
17,False,"{'a': 0.6, 'e': 0.7866278610665535}",25,0,-92.29601534487539,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
18,False,"{'a': 0.6, 'e': 0.774916497961081}",30,0,-144.0347065454849,"{0: 20, 1: 4, 2: 3, 3: 0, 4: 3}",0
19,False,"{'a': 0.6, 'e': 0.7633794943368531}",25,2,-150.6718977358154,"{0: 9, 1: 3, 2: 9, 3: 1, 4: 1}",1
20,False,"{'a': 0.6, 'e': 0.7520142543193826}",30,0,-72.42269502573554,"{0: 23, 1: 0, 2: 6, 3: 0, 4: 1}",0
21,False,"{'a': 0.6, 'e': 0.7408182206817179}",20,4,-42.13353103801815,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 0}",1
22,False,"{'a': 0.6, 'e': 0.7297888742690568}",25,0,-106.89793440689323,"{0: 17, 1: 0, 2: 5, 3: 2, 4: 1}",0
23,False,"{'a': 0.6, 'e': 0.7189237334319262}",20,0,-110.37198774764495,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
24,False,"{'a': 0.6, 'e': 0.7082203534678}",25,0,-90.10714626818795,"{0: 19, 1: 1, 2: 1, 3: 3, 4: 1}",0
25,False,"{'a': 0.6, 'e': 0.697676326071031}",25,0,-185.50417551091508,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 4}",0
26,False,"{'a': 0.6, 'e': 0.6872892787909722}",30,7,-119.7875195194211,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 1}",1
27,False,"{'a': 0.6, 'e': 0.6770568744981647}",20,0,-19.11661464022123,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
28,False,"{'a': 0.6, 'e': 0.6669768108584745}",25,8,-32.333018520604796,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 0}",1
29,False,"{'a': 0.6, 'e': 0.6570468198150569}",25,0,-65.22246032142245,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
30,False,"{'a': 0.6, 'e': 0.6472646670780347}",25,0,-8.586285247426408,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
31,False,"{'a': 0.6, 'e': 0.6376281516217733}",25,6,-68.37830233707855,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 1}",1
32,False,"{'a': 0.6, 'e': 0.6281351051896409}",30,16,-70.86858237477831,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 2}",1
33,False,"{'a': 0.6, 'e': 0.6187833918061408}",20,6,-46.343015465464624,"{0: 9, 1: 0, 2: 4, 3: 1, 4: 0}",1
34,False,"{'a': 0.6, 'e': 0.6095709072963093}",20,0,-51.187956260877996,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
35,False,"{'a': 0.6, 'e': 0.600495578812266}",20,0,-21.28621941593904,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
36,False,"{'a': 0.6, 'e': 0.5915553643668151}",20,0,-20.38251407707613,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
37,False,"{'a': 0.6, 'e': 0.5827482523739896}",20,10,-12.86789922747127,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
38,False,"{'a': 0.6, 'e': 0.5740722611964361}",30,3,6.033403604011866,"{0: 23, 1: 2, 2: 2, 3: 0, 4: 0}",1
39,False,"{'a': 0.6, 'e': 0.5655254386995372}",20,0,-52.45299037456873,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
40,False,"{'a': 0.6, 'e': 0.5571058618121739}",30,6,26.498778103059735,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
41,False,"{'a': 0.6, 'e': 0.5488116360940265}",25,11,3.3944548503971013,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
42,False,"{'a': 0.6, 'e': 0.5406408953093166}",20,0,-67.73370540484483,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
43,False,"{'a': 0.6, 'e': 0.5325918010068972}",20,0,-75.13618022096499,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
