trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-213.33845802021784,"{0: 12, 1: 2, 2: 6, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.90456847443402,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.03290617863615,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-136.6325907751732,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-93.70281955268932,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-87.12715123294716,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,9,-4.236015963434539,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-201.20216794791514,"{0: 16, 1: 2, 2: 9, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-71.72607927567977,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",35,0,-119.02781114943433,"{0: 21, 1: 2, 2: 11, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-133.14326666068925,"{0: 14, 1: 4, 2: 3, 3: 3, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-98.64123756730278,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.14031580050367,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-212.6443382166363,"{0: 12, 1: 2, 2: 5, 3: 4, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-198.57627290975708,"{0: 14, 1: 0, 2: 7, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-114.7206397928276,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-183.32891902723856,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-237.273821282128,"{0: 13, 1: 4, 2: 9, 3: 1, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-221.96775587787374,"{0: 11, 1: 1, 2: 9, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.51678672511397,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",35,6,-114.45499193087791,"{0: 16, 1: 6, 2: 5, 3: 1, 4: 1}",1
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-170.46239619843695,"{0: 16, 1: 5, 2: 4, 3: 4, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-87.35837413806264,"{0: 15, 1: 1, 2: 9, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-178.48809195016537,"{0: 11, 1: 1, 2: 11, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-64.74274979662009,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,4.7846096347273015,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-98.80126937997163,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-180.4611718621756,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-42.415403119387335,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-108.2943518646172,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
